Index,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Clade 4,Superfamily,Clade 5,Family,Subfamily,Lowest clade,Genus,Species,Taxon,Author,Year,Authority,Type_repository,Type_number,Type_specimen,Type_type,Repository_country,Type_country,Status,Notes
1,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,N/A,N/A,Amphibamiformes,"""Broiliellus""",hektotopos,"""Broiliellus"" hektotopos","Berman, Berman",1975,"Berman, Berman (1975)",CM,8542,CM 8539,Holotype,USA,USA,Disputed (genus),improper genus placement is widely accepted; species validity is unclear without revision
2,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,N/A,N/A,N/A,N/A,N/A,Stereospondyli,Abiadisaurus,witteni,Abiadisaurus witteni,"Warren, Yates, Damiani, Goodwin, Wood, Schaff",1998,"Warren, Yates, Damiani, Goodwin, Wood, Schaff (1998)",UCMP,154459,UCMP 154459,Holotype,USA,Ethiopia,Valid,
3,Temnospondyli,Rhachitomi,N,N,N/A,N/A,N/A,Zatracheidae,N/A,Zatracheidae,Acanthostomatops,vorax,Acanthostomatops vorax,Credner,1883,Credner (1883),LFUG-SS,13556 + 13214,LFUG-SS 13556 + 13214,Lectotype,Germany,Germany,Valid,
4,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,N/A,N/A,N/A,Rhytidosteidae,N/A,Rhytidosteidae,Acerastea,wadeae,Acerastea wadeae,"Warren, Hutchinson",1987,"Warren, Hutchinson (1987)",QM,F12277,QM F12277,Holotype,Australia,Australia,Valid,
5,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Trematopidae,N/A,Trematopidae,Acheloma,cumminsi,Acheloma cumminsi,Cope,1882,Cope (1882),AMNH,FARB 4205,AMNH FARB 4189,Holotype,USA,USA,Valid,
6,Temnospondyli,Rhachitomi,N,N,Dvinosauria,Dvinosauroidea,N/A,Eobrachyopoidae,N/A,Eobrachyopoidae,Acroplous,vorax,Acroplous vorax,Hotton,1959,Hotton (1959),KUVP,9822,KUVP 9822,Holotype,USA,USA,Valid,
7,Temnospondyli,Rhachitomi,N,N,Eryopiformes,Eryopoidea,N/A,Eryopidae,N/A,Eryopidae,Actinodon,frossardi,Actinodon frossardi,Gaudry,1866,Gaudry (1866),MNHN,1908.20.6,MNHN 1908.20.6,Holotype,France,France,Valid,
8,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Trematopidae,N/A,Trematopidae,Actiobates,peabodyi,Actiobates peabodyi,Eaton,1973,Eaton (1973),KUVP,17941,KUVP 17941,Holotype,USA,USA,Valid,
9,Temnospondyli,N,N,N,N/A,Edopoidea,N/A,Cochleosauridae,N/A,Cochleosauridae,Adamanterpeton,ohioensis,Adamanterpeton ohioensis,"Milner, Sequeira",1998,"Milner, Sequeira (1998)",AMNH,FARB 2933,AMNH FARB 2566,Holotype,USA,USA,Valid,
10,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Dissorophidae,Aspidosaurinae,Dissorophidae,Alegeinosaurus,aphthitos,Alegeinosaurus aphthitos,Case,1911,Case (1911),AMNH,FARB 4756,AMNH FARB 4719,Holotype,USA,USA,Nomen dubium,
